,sku,units_sold,unit_price,title,average_discount
1452,XBSeries-DevilsGarden,75,12.909459459459459,Devil's Garden,0.0
1453,XBSeries-Draconika,31,12.95,Draconika,0.0
1454,XBSeries-FreeForAll,111,16.854761904761904,Free For All *LIMITED*,0.0
1455,XBSeries-Fusion,97,13.527319587628865,Fusion,0.0
1456,XBSeries-Gambler,45,13.647674418604652,Gambler,0.0
1457,XBSeries-Legends,112,16.84090909090909,Legends *LIMITED*,0.0
1458,XBSeries-MentalGraffiti,72,12.908333333333333,Mental Graffiti,0.0
1459,XBSeries-MysticBlue,101,12.920297029702969,Mystic Blue,0.0
1460,XBSeries-MysticGreen,103,12.940099009900988,Mystic Green,0.95
1461,XBSeries-MysticRed,98,12.898453608247422,Mystic Red,0.0
1462,XBSeries-Psychedelic,127,12.910629921259842,Psychedelic,0.0
1463,XBSeries-PurpleHaze,74,12.90890410958904,Purple Haze,0.0
1464,XBSeries-PurpleSkulls,32,12.8875,Purple Skulls,0.95
1465,XBSeries-RadioactiveCamo,71,12.95,Radioactive Camo,0.95
1466,XBSeries-RavenBlack,93,13.245454545454544,Raven Black,0.95
1467,XBSeries-RedCarbonFiber,131,16.23125,Red Carbon Fiber,0.0
1468,XBSeries-RedDigitalCamo,21,12.95,Red Digital Camo,0.0
1469,XBSeries-RedMotif,53,13.238461538461538,Red Motif,0.95
1470,XBSeries-RedRum,84,13.038607594936709,RedRum,0.95
1471,XBSeries-RedSkulls,98,13.241666666666665,Red Skulls,0.0
1472,XBSeries-Redstone,19,11.616666666666667,Redstone,0.0
1473,XBSeries-RideOrDie,21,13.616666666666665,Ride or Die,0.0
1474,XBSeries-RoseDragon,75,12.881506849315068,Rose Dragon,0.0
1475,XBSeries-RoyalBlue,96,13.083333333333334,Royal Blue,0.0
1476,XBSeries-ShadowCamo,100,12.929591836734692,Shadow Camo,0.0
1477,XBSeries-ShowMeTheMoney,76,12.910526315789474,Show Me The Money!,0.95
1478,XBSeries-SnowDigitalCamo,38,12.95,Snow Digital Camo,0.0
1479,XBSeries-Storm,30,12.294827586206894,Storm,0.0
1480,XBSeries-TieDye,145,13.457042253521125,Tie Dye,0.95
1481,XBSeries-WhiteMotif,48,12.866666666666665,White Motif,0.0
1482,XBSeries-Wildfire,60,12.95,Wildfire,0.95
1483,XBSeries-Wildstyle,65,12.903125,Wildstyle,0.0
1484,XBSeries-WoodlandCamo,59,12.933050847457626,Woodland Camo,0.0
1485,XBSeriesS-Console-420-SERS_620,1,29.95,420,0.0
1486,XBSeriesS-Console-AlchemistOfSteel-SERS_111,1,32.95,Alchemist of Steel,0.0
1487,XBSeriesS-Console-AntiqueWood,1,34.95,Antique Wood,0.0
1488,XBSeriesS-Console-BloodSplatter,2,34.95,Blood Splatter,0.0
1489,XBSeriesS-Console-BloodSplatter-SERS_604,1,32.95,Blood Splatter,0.0
1490,XBSeriesS-Console-BreakingThrough,1,34.95,Breaking Through,0.95
1491,XBSeriesS-Console-BreakingThrough-SERS_610,2,33.95,Breaking Through,0.0
1492,XBSeriesS-Console-BrolyRetro,1,34.95,Broly Retro,0.0
1493,XBSeriesS-Console-BrolyRetro-SERS_114,3,32.95,Broly Retro,0.0
1494,XBSeriesS-Console-EagleVision-SERS_215,1,34.95,Eagle Vision,0.0
1495,XBSeriesS-Console-FriezaRetro-SERS_113,1,32.95,Frieza Retro,0.0
1496,XBSeriesS-Console-GogetaRetro-SERS_103,5,33.75,Gogeta Retro,0.0
1497,XBSeriesS-Console-GrayWood-SERS_605,1,29.95,Gray Wood,0.0
1498,XBSeriesS-Console-HellsEdge,1,34.95,Hell's Edge,0.0
1499,XBSeriesS-Console-HighVoltage,1,34.95,High Voltage,0.0
1500,XBSeriesS-Console-Host-SERS_308,4,34.95,Host *LIMITED*,0.0
1501,XBSeriesS-Console-Interstellar-SERS_503,1,34.95,Interstellar,0.95
1502,XBSeriesS-Console-MatterOfEssence-SERS_401,1,32.95,Matter of Essence,0.0
1503,XBSeriesS-Console-MortalMashup-SERS_219,1,32.95,Mortal Mashup,0.0
1504,XBSeriesS-Console-NarutoSasuke,2,34.95,Naruto Sasuke,0.0
1505,XBSeriesS-Console-NarutoSasuke-SERS_107,7,33.807142857142864,Sasuke,0.0
1506,XBSeriesS-Console-PandorasBox-SERS_624,1,29.95,Pandora's Box,0.0
1507,XBSeriesS-Console-PathToTheStars,1,34.95,Path to the Stars,0.0
1508,XBSeriesS-Console-Patriot-SERS_619,1,29.95,Patriot,0.0
1509,XBSeriesS-Console-SailorStorm,1,34.95,Sailor Storm,0.95
1510,XBSeriesS-Console-ShenronsRevenge,1,34.95,Shenron's Revenge,0.95
1511,XBSeriesS-Console-ShenronsRevenge-SERS_106,2,32.95,Shenron's Revenge,0.0
1512,XBSeriesS-Console-SpaceSmoke,2,34.95,Space Smoke,0.95
1513,XBSeriesS-Console-SteelArmorAlchemist-SERS_110,1,34.95,Steel Armor Alchemist,0.0
1514,XBSeriesS-Console-Supernova-SERS_502,1,34.95,Supernova,0.0
1515,XBSeriesS-Console-Symbiote-SERS_307,3,33.61666666666667,Symbiote *LIMITED*,0.0
1516,XBSeriesS-Console-TheLastDragonborn-SERS_217,1,32.95,The Last Dragonborn,0.0
1517,XBSeriesS-Console-UltraInstinct-SERS_116,3,32.95,Ultra Instinct,0.0
1518,XBSeriesS-Console-UltraInstinctV2,2,34.95,Ultra Instinct V2,0.95
1519,XBSeriesS-Console-UltraInstinctV2-SERS_102,2,32.95,Ultra Instinct V2,0.95
1520,XBSeriesS-Console-Valhalla,1,34.95,Valhalla,0.0
1521,XBSeriesS-Console-Valhalla-SERS_208,1,34.95,Valhalla,0.95
1522,XBSeriesX-Console-420_SERX_620,2,29.95,420,0.0
1523,XBSeriesX-Console-Aurora-SERX_507,4,33.45,Aurora,0.0
1524,XBSeriesX-Console-BlackMarble-SERX_617,4,29.95,Black Marble,0.0
1525,XBSeriesX-Console-BloodSplatter,2,34.95,Blood Splatter,0.0
1526,XBSeriesX-Console-BloodSplatter-SERX_604,2,32.95,Blood Splatter,0.0
1527,XBSeriesX-Console-BlueMarble-SERX_607,1,32.95,Blue Marble,0.0
1528,XBSeriesX-Console-BreakingThrough-SERX_610,2,33.95,Breaking Through,0.95
1529,XBSeriesX-Console-BrolyJapanRetro,3,34.95,Broly Japan Retro,0.0
1530,XBSeriesX-Console-BrolyJapanRetro-SERX_114,5,34.15,Broly Japan Retro,0.0
1531,XBSeriesX-Console-CarbonFiberBlack,4,34.95,Black Carbon Fiber,0.0
1532,XBSeriesX-Console-Cyberpunk,1,34.95,Cyberpunk,0.95
1533,XBSeriesX-Console-DayoftheDead,1,34.95,Day of the Dead,0.0
1534,XBSeriesX-Console-EagleVision,2,34.95,Eagle Vision,0.0
1535,XBSeriesX-Console-EagleVision-SERX_215,1,32.95,Eagle Vision,0.0
1536,XBSeriesX-Console-Evangelion,4,34.95,Evangelion,0.0
1537,XBSeriesX-Console-Evangelion-SERX_104,3,32.95,Evangelion,0.95
1538,XBSeriesX-Console-FriezaJapanRetro-SERX_113,2,34.95,Frieza Retro,0.0
1539,XBSeriesX-Console-GogetaJapanRetro,3,34.95,Gogeta Japan Retro,0.0
1540,XBSeriesX-Console-GogetaJapanRetro-SERX_103,5,33.35,Gogeta Japan Retro,0.0
1541,XBSeriesX-Console-GokuRose,4,34.95,Goku Rose,0.95
1542,XBSeriesX-Console-GokuRose-SERX_115,3,34.28333333333334,Goku Rose,0.0
1543,XBSeriesX-Console-GokuUkiyo-SERX_112,1,34.95,Goku Ukiyo,0.0
1544,XBSeriesX-Console-GrayWood,1,34.95,Gray Wood,0.0
1545,XBSeriesX-Console-HailToTheChief,6,34.95,Hail to the Chief,0.0
1546,XBSeriesX-Console-HailToTheChief-SERX_216,3,33.61666666666667,Hail to the Chief,0.0
1547,XBSeriesX-Console-HellsEdge,6,34.95,Hell's Edge,0.0
1548,XBSeriesX-Console-HellsEdge-SERX_701,9,33.61666666666667,Hell's Edge,0.0
1549,XBSeriesX-Console-Hexed-SERX_622,1,29.95,Hexed,0.0
1550,XBSeriesX-Console-HighVoltage,1,34.95,High Voltage,0.95
1551,XBSeriesX-Console-HimokiToga-SERX_125,4,32.95,Himoki Toga,0.95
1552,XBSeriesX-Console-Host-SERX_308,12,34.95,Host *LIMITED*,0.0
1553,XBSeriesX-Console-HumanitysStrongest-SERX_101,3,32.95,Humanity's Strongest,0.95
1554,XBSeriesX-Console-Kong-SERX_302,1,34.95,Kong,0.95
1555,XBSeriesX-Console-LiquidEmerald-SERX_406,2,34.95,Liquid Emerald,0.95
1556,XBSeriesX-Console-MatterOfEssence,1,34.95,Matter of Essence,0.0
1557,XBSeriesX-Console-MatterOfEssence-SERX_401,1,29.95,Matter of Essence,0.0
1558,XBSeriesX-Console-Mecha-SERX_623,1,29.95,Mecha,0.95
1559,XBSeriesX-Console-MoltenCore,2,34.95,Molten Core,0.95
1560,XBSeriesX-Console-MoltenCore-SERX_702,1,34.95,Molten Core,0.0
1561,XBSeriesX-Console-NarutoKurama,4,34.95,Naruto Kurama,0.0
1562,XBSeriesX-Console-NarutoKurama-SERX_108,9,33.83888888888889,Naruto Kurama,0.0
1563,XBSeriesX-Console-NarutoSasuke,4,34.95,Naruto Sasuke,0.0
1564,XBSeriesX-Console-NarutoSasuke-SERX_107,6,34.28333333333334,Sasuke,0.0
1565,XBSeriesX-Console-NorthernLights-SERX_501,1,34.95,Northern Lights,0.0
1566,XBSeriesX-Console-OnePunchMan,2,34.95,"One Punch, One Kill",0.0
1567,XBSeriesX-Console-OnePunchMan-SERX_119,2,34.95,"One Punch, One Kill",0.95
1568,XBSeriesX-Console-OnePunchOneKill-SERX_119,2,32.95,"One Punch, One Kill",0.0
1569,XBSeriesX-Console-PaintSplatter-SERX_608,1,34.95,Paint Splatter,0.0
1570,XBSeriesX-Console-PathToTheStars-SERX_210,1,32.95,Path to the Stars,0.0
1571,XBSeriesX-Console-Patriot-SERX_619,4,29.95,Patriot,0.0
1572,XBSeriesX-Console-SailTheMoon,2,34.95,Sail the Moon,0.0
1573,XBSeriesX-Console-SailTheMoon-SERX_121,3,33.61666666666667,Sail the Moon,0.95
1574,XBSeriesX-Console-ShenronsRevenge,11,34.95,Shenron's Revenge,0.0
1575,XBSeriesX-Console-ShenronsRevenge-SERX_106,6,33.95,Shenron's Revenge,0.0
1576,XBSeriesX-Console-Sunny-SERX_124,2,32.95,Sunny,0.0
1577,XBSeriesX-Console-Supernova,3,34.95,Supernova,0.0
1578,XBSeriesX-Console-Supernova-SERX_502,2,32.95,Supernova,0.0
1579,XBSeriesX-Console-Symbiote-SERX_307,4,34.95,Symbiote *LIMITED*,0.0
1580,XBSeriesX-Console-TheOneRing,1,34.95,The One Ring,0.0
1581,XBSeriesX-Console-TheOneRing-SERX_303,7,33.23571428571429,The One Ring,0.0
1582,XBSeriesX-Console-UltraInstinct,3,34.95,Ultra Instinct,0.95
1583,XBSeriesX-Console-UltraInstinct-SERX_116,3,33.61666666666667,Ultra Instinct,0.0
1584,XBSeriesX-Console-UltraInstinctV2,6,34.95,Ultra Instinct V2,0.0
1585,XBSeriesX-Console-UltraInstinctV2-SERX_102,7,33.23571428571429,Ultra Instinct V2,0.0
1586,XBSeriesX-Console-Valhalla,1,34.95,Valhalla,0.0
1587,XBSeriesX-Console-Valhalla-SERX_208,1,32.95,Valhalla,0.95
1588,XBSeriesX-Console-WhatLiesBeneath,2,34.95,What Lies Beneath,0.0
1589,XBSeriesX-Console-WhiteCarbonFiber-SERX_621,2,33.95,White Carbon Fiber,0.0
1590,XBSeriesX-Console-Zilla-SERX_301,12,33.61666666666667,Zilla,0.0
1591,Xb1Aurora,1192,14.53918005071851,Aurora,0.01
1592,Xb1Draconika,327,13.983846153846153,Draconika,0.11
1593,Xb1MentalAnarchy,666,13.892336874051592,Anarchy,0.05
1594,XboxOne-GSTM0428-GreyWoodGrain,2,21.95,Grey Wood Grain,0.0
1595,XboxOne-GSTM0885-TheGreatBeyond,9,21.95,The Great Beyond,0.0
1596,XboxOne-GSTM1007-RedBlackHole,3,21.95,Red Black Hole,0.95
1597,XboxOne-GSTM1040-SpaceTime,3,21.95,Space Time,0.0
1598,XboxOne-GSTM1042-Aurora,3,21.95,Aurora,0.0
1599,XboxOne-GSTM1130-ABeautifulWorld,4,21.95,A Beautiful World,0.0
1600,XboxOne-GSTM2369-AmericanWarrior,15,20.016666666666666,American Warrior,0.0
1601,XboxOne-GSTM2371-DistressedAmericanFlag,12,19.7,Distressed American Flag,0.0
1602,XboxOne-GSTM2409-Colorskull,4,21.95,Colorskull,0.0
1603,YS-xboxoneS-0034-BayBlueCamo,4,20.7,Bay Blue Camo,0.0
1604,YS-xboxoneS-0121-LookUp,5,21.95,Look Up,0.95
1605,YS-xboxoneS-0192-ThereWillBeBlood,23,20.428260869565214,There Will Be Blood,0.0
1606,YS-xboxoneS-0203-FireInBloom,11,19.95,Fire In Bloom,0.0
1607,YS-xboxoneS-0462-GrayWoodGrain,5,21.95,Gray Wood Grain,0.0
1608,YS-xboxoneS-0496-ShowMeTheMoney,8,19.45,Show Me The Money,0.0
1609,YS-xboxoneS-0509-TheGreatBeyond,10,19.15,The Great Beyond,0.0
1610,YS-xboxoneS-0526-KillerWave,5,21.95,Killer Wave,0.0
1611,YS-xboxoneS-0600-ViralNebula,5,21.15,Viral Nebula,0.0
1612,YS-xboxoneS-0685-RedBlackHole,4,21.7,Red Black Hole,0.0
1613,YS-xboxoneS-0687-EventHorizon,3,21.95,Event Horizon,0.0
1614,YS-xboxoneS-0709-SpaceTime,5,21.55,Space Time,0.0
1615,YS-xboxoneS-0711-Aurora,5,21.95,Aurora,0.0
1616,YS-xboxoneS-0769-TagLife,5,20.15,Tag Life,0.0
1617,YS-xboxoneS-0771-MentalGraffiti,2,19.95,Mental Graffiti,0.0
1618,YS-xboxoneS-0772-Baller,1,14.95,Baller,0.0
1619,YS-xboxoneS-0777-WildstyleGraffiti,7,20.664285714285715,Wildstyle Graffiti,0.0
1620,YS-xboxoneS-0784-ColorfulSkulls,1,21.95,Colorful Skulls,0.0
1621,YS-xboxoneS-0793-ABeautifulWorld,5,21.75,A Beautiful World,0.95
1622,YS-xboxoneS-0795-AliceintheAbstract,5,18.15,Alice in the Abstract,0.0
1623,YS-xboxoneS-0974-AmericanWarrior,10,21.75,American Warrior,0.0
1624,YS-xboxoneS-1042-RedorBluePill,5,19.35,Red or Blue Pill,0.0
1625,YS-xboxoneS-1139,1,17.95,Arctic Camo,0.95
1626,YS-xboxoneS-1288-Mercury,5,21.75,Mercury,0.0
1627,YS-xboxoneS-1333-LookingGlass,5,20.15,Looking Glass,0.95
1628,YS-xboxoneS-1339-ArtinMotion,14,19.87857142857143,Art in Motion,0.95
1629,YS-xboxoneS-1735-FlowerPower,2,21.95,Flower Power,0.0
1630,YS-xboxoneS-1805-InTheClouds,4,17.95,In the Clouds,0.0
1631,YS-xboxoneS-1924-StarsAndStripes,1,20.95,God Bless America,0.0
1632,YS-xboxoneS-1927-VictoryDay,8,18.825,Victory Day,0.95
1633,YS-xboxoneS-1968-Colorskull,5,20.95,Colorskull,0.0
1634,YS-xboxoneS-1969-DistressedUSAFlag,15,18.483333333333334,Distressed American Flag,0.0
1635,YS-xboxoneS-1970-WoodlandCamo,2,17.95,Woodland Camo,0.0
1636,YSP4S-0046-FireInBloom,11,19.495454545454546,Fire In Bloom,0.0
1637,YSP4S-0054-ArcticCamo,3,17.95,Arctic Camo,0.95
1638,YSP4S-0054-BayBlueCamo,3,19.28333333333333,Bay Blue Camo,0.95
1639,YSP4S-0066-ThereWillBeBlood,17,19.420588235294115,There Will Be Blood,0.0
1640,YSP4S-0069-LookUp,5,20.35,Look Up,0.95
1641,YSP4S-0114-BlackWood,5,20.55,Black Wood,0.0
1642,YSP4S-0623-DistressedAmericanFlag,7,18.95,Distressed American Flag,0.0
1643,YSP4S-1069-KillerWave,5,19.35,Killer Wave,0.0
1644,YSP4S-1075-RedorBluePill,4,18.7,Red or Blue Pill,0.95
1645,YSP4S-1175-Patriot,5,18.7,Patriot,0.0
1646,YSP4S-1193-TheGreatBeyond,10,20.15,The Great Beyond,0.0
1647,YSP4S-1324-ShowMeTheMoney,10,19.15,Show Me The Money,0.0
1648,YSP4S-1368-RedBlackHole,3,21.28333333333333,Red Black Hole,0.0
1649,YSP4S-1369-EventHorizon,5,19.95,Event Horizon,0.95
1650,YSP4S-1394-RedBlackHole,2,21.95,Red Black Hole,0.0
1651,YSP4S-1401-SpaceTime,5,21.35,Space Time,0.95
1652,YSP4S-1403-Aurora,4,21.45,Aurora,0.0
1653,YSP4S-1479-ColorfulSkulls,6,18.75,Colorful Skulls,2.87
1654,YSP4S-1490-MentalGraffiti,4,19.7,Mental Graffiti,0.0
1655,YSP4S-1491-HerpDerp,1,17.95,Herp Derp,0.0
1656,YSP4S-1501-WildstyleGraffiti,6,18.78333333333333,Wildstyle Graffiti,0.0
1657,YSP4S-1509-AliceInTheAbstract,6,19.78333333333333,Alice In The Abstract,0.0
1658,YSP4S-1510-AbstractInsanity,2,19.45,Abstract Insanity,0.0
1659,YSP4S-1511-TagLife,5,21.75,Tag Life,0.0
1660,YSP4S-1512-ABeautifulWorld,5,21.95,A Beautiful World,0.0
1661,YSP4S-2002-Anarchy,3,20.28333333333333,Anarchy,0.0
1662,YSP4S-2328-LookingGlass,5,21.55,Looking Glass,0.0
1663,YSP4S-2331-SugarFlower,1,20.95,Sugar Flower,0.95
1664,YSP4S-2334-ArtInMotion,5,19.35,Art In Motion,0.95
1665,YSP4S-2366-Mercury,4,21.7,Mercury,0.95
1666,YSP4S-2908-FlowerPower,1,17.95,Flower Power,0.95
1667,YSP4S-2917,1,19.95,Red Glass,0.0
1668,YSP4S-2976-InTheClouds,2,19.95,In The Clouds,0.0
1669,YSP4S-3010-Splatter,5,21.55,Splatter,0.0
1670,YSP4S-3147-BombsAway,5,20.35,Bombs Away,0.0
1671,YSP4S-3151-VictoryDay,4,19.7,Victory Day,0.0
1672,YSP4S-3206-BayBlueCamo,1,17.95,Bay Blue Camo,0.0
1673,YSP4S-3207-ViralNebula,5,21.55,Viral Nebula,0.0
1674,YSP4S-3208-Colorskull,5,20.75,Colorskull,0.95
1675,YSX1X0151-WildstyleGraffiti,5,19.95,Wildstyle Graffiti,0.0
1676,YSX1X0157-AbstractInsanity,3,19.28333333333333,Abstract Insanity,0.95
1677,YSX1X0248-ThereWillBeBlood,5,21.95,There Will Be Blood,0.0
1678,YSX1X0259-FireInBloom,5,21.75,Fire In Bloom,0.0
1679,YSX1X0359-ShowMeTheMoney,4,19.95,Show Me The Money,0.95
1680,YSX1X0363-ArcticCamo,3,20.616666666666664,Arctic Camo,0.0
1681,YSX1X0370-BlackWood,3,21.616666666666664,Black Wood,0.95
1682,YSX1X0455-BayBlueCamo,1,17.95,Bay Blue Camo,0.0
1683,YSX1X0466-LookUp,1,21.95,Look Up,0.0
1684,YSX1X0488-MentalGraffiti,5,20.15,Mental Graffiti,0.0
1685,YSX1X0489-Baller,1,17.95,Baller,0.0
1686,YSX1X0511-AliceintheAbstract,5,21.95,Alice in the Abstract,0.0
1687,YSX1X0513-TagLife,3,18.95,Tag Life,0.95
1688,YSX1X0575-RedBlackHole,3,21.95,Red Black Hole,0.0
1689,YSX1X0576-EventHorizon,3,21.95,Event Horizon,0.0
1690,YSX1X0596-SpaceTime,2,21.95,Space Time,0.95
1691,YSX1X0597-Aurora,3,21.95,Aurora,0.0
1692,YSX1X0616-ColorfulSkulls,1,20.95,Colorful Skulls,0.95
1693,YSX1X0644-TheGreatBeyond,3,21.95,The Great Beyond,0.95
1694,YSX1X1092-Mercury,3,21.95,Mercury,0.0
1695,YSX1X1136-LookingGlass,3,21.95,Looking Glass,0.0
1696,YSX1X1144,1,19.95,Art in Motion,0.0
1697,YSX1X1144-ArtInMotion,4,21.95,Art in Motion,0.95
1698,YSX1X1882-BombsAway,3,21.95,Bombs Away,0.0
1699,YSX1X1929-RedPillBluePill,3,21.95,Red Or Blue Pill,0.95
1700,YSX1X1930-WoodlandCamo,1,21.95,Woodland Camo,0.95
