,sku,units_sold,unit_price,title,average_discount
1175,XB1-AtomicComic,40,12.925,Atomic Comic,0.0
1176,XB1-BlackCarbonFiber,97,15.202631578947368,Black Carbon Fiber,0.0
1177,XB1-BloodSplatter,113,12.904954954954952,There Will Be Blood,0.0
1178,XB1-BlueCarbonFiber,56,15.394444444444444,Blue Carbon Fiber,0.0
1179,XB1-Console-BloodSplatter-XB1_604,1,24.95,Blood Splatter,0.0
1180,XB1-Console-BreakingThrough-XB1_610,1,24.95,Breaking Through,0.95
1181,XB1-Console-BrolyJapanRetro,1,29.95,Broly Japan Retro,0.0
1182,XB1-Console-BrolyJapanRetro-XB1_114,1,27.95,Broly Japan Retro,0.95
1183,XB1-Console-GokuUkiyo-XB1_112,1,29.95,Goku Ukiyo,0.0
1184,XB1-Console-GrayWood,1,24.95,Gray Wood,0.0
1185,XB1-Console-HellsEdge,1,24.95,Hell's Edge,0.0
1186,XB1-Console-HellsEdge-XB1_701,2,24.95,Hell's Edge,0.95
1187,XB1-Console-Izuku-XB1_126,1,27.95,Izuku,0.0
1188,XB1-Console-LiquidPurple,1,24.95,Liquid Purple,0.0
1189,XB1-Console-Mecha-XB1_623,1,24.95,Mecha,0.95
1190,XB1-Console-NarutoSasuke-XB1_107,2,24.95,Naruto Sasuke,0.0
1191,XB1-Console-PaintSplatter-XB1_608,1,24.95,Paint Splatter,0.0
1192,XB1-Console-StoneGalaxy,2,24.95,Stone Galaxy,0.0
1193,XB1-Console-UltraInstinct,1,29.95,Ultra Instinct,0.95
1194,XB1-Console-Whirlpool-XB1_409,1,24.95,Whirlpool,0.0
1195,XB1-Console-Zilla-XB1_301,1,27.95,Zilla,0.0
1196,XB1-DXTM0076-ThereWillBeBlood,1,17.95,There Will Be Blood,0.0
1197,XB1-DeathsPatriot,18,12.95,Death's Patriot,0.0
1198,XB1-FreeForAll,56,16.182142857142857,Free For All *LIMITED*,0.0
1199,XB1-Legends,55,16.19074074074074,Legends *LIMITED*,0.0
1200,XB1-RedCarbonFiber,52,15.276923076923076,Red Carbon Fiber,0.0
1201,XB1-WhiteMotif,318,12.88015873015873,White Motif,0.12
